phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,F1_df,F2_df,F3_df,F4_df,F1_lm,F2_lm,F3_lm,F4_lm,speaker,lesson,environment,vowel_length,is_outlier
e,TRUE,pastézz,19.286672141746934,0.11190622872683421,θː,443.389475500265,1735.2968658423201,2417.9600521722105,3643.35888751212,0.4278149836986084,1.6743428551951154,2.333026825088279,3.5153823200484284,-1.2952329934656426,0.0692522275138101,0.40099795555529827,0.8109797519712538,LL,7,elsewhere,short,FALSE
o,TRUE,carólla,21.230724240896134,0.18346261182345813,l,511.49735406838386,1206.3158376416502,2175.15098211306,3101.56503474278,0.49353050598630227,1.1639428063414357,2.09874666263736,2.9926195097020587,-1.1523391419709084,-0.2943553228703255,0.2951718037146325,0.6499805585340441,LL,7,prelateral,short,FALSE
ɛː,TRUE,bèla,21.758325007996188,0.059653820355830334,l,602.1888942912581,1598.9429607490101,2328.6505814267994,3265.6154949795805,0.5810364165816642,1.542778515245641,2.246854437419468,3.150907536030988,-0.9891103804790866,-0.01258351409143632,0.3633626747232288,0.7015219824924026,LL,7,prelateral,long,FALSE
uː,TRUE,frûta,22.220243618310228,0.25699509413009375,t,458.8280810622799,720.3878655919499,2169.6553573316105,3122.13819833676,0.44271129304242074,0.6950835326597894,2.093444077086278,3.01247002067248,-1.26100596562617,-0.8098917852891789,0.2926420579524889,0.6565918115963809,LL,7,elsewhere,long,FALSE
e,TRUE,é,23.289491250731185,0.04862864409778211,d,354.69783892393804,2158.50005366213,2461.206805221729,3460.1221130259,0.342238728165494,2.0826806144395222,2.3747544933646236,3.33858191764519,-1.5184152853883113,0.2874872853940005,0.4187255254016531,0.7593776057486705,LL,7,elsewhere,short,FALSE
iː,TRUE,fîg,23.741154986035767,0.30467260655444767,g,398.242825217178,1977.3571329570998,3494.20651727467,4073.7302847120495,0.3842541539492922,1.9079005171422094,3.3714690736418724,3.930636498262059,-1.4026196216105786,0.19983489627730666,0.7691800407455593,0.9226328360856746,LL,7,elsewhere,long,FALSE
o,TRUE,limón,24.45819319277456,0.10388846693617636,n,624.4679811542849,1060.5728175375098,2478.3289687099395,3752.20353589665,0.602532928586988,1.0233191532885757,2.3912752240051716,3.620403693011262,-0.9527814973812347,-0.42311711941315444,0.42565825464988905,0.8404170014996177,LL,7,prenasal,short,FALSE
e,TRUE,mandarén,25.119971576674967,0.11051964567678496,n,457.69878113521804,2178.6064488366296,2579.83808617993,4218.78548142285,0.4416216608869851,2.1020807526906866,2.48921873379797,4.070596488395367,-1.2634702698274785,0.29675915326449953,0.46580036418936555,0.9576210105344396,LL,7,prenasal,short,FALSE
æ,TRUE,däl,25.35249828397282,0.07736375197374915,l,522.269696577903,1991.0815367180298,2618.6263044980797,3956.8975756396903,0.5039244593608293,1.9211428377106685,2.526644477764388,3.8179076531065412,-1.1314974398916924,0.20675170140920596,0.48072359353327965,0.8935340022412381,LL,7,prelateral,short,FALSE
æ,TRUE,däl,26.185183585227186,0.058575412208696775,l,462.59962499388,1947.4967086676002,2509.5050305810405,4189.07507679667,0.44635035778069754,1.8790889696506223,2.4213561960131864,4.041929690978745,-1.2528196153141327,0.18461853325162636,0.4381592592454835,0.950553688691369,LL,7,prelateral,short,FALSE
ɛː,TRUE,banèn,26.837581170731767,0.371627396067268,n,699.0662635384579,2033.93441578398,2430.785781762759,3994.1731030281603,0.6745108728675128,1.962490467214849,2.34540203830125,3.8538738409012847,-0.8399360190986025,0.22804577766560374,0.4062882965809447,0.9029102993423939,LL,7,prenasal,long,FALSE
æ,TRUE,däl,27.544351108306266,0.08620532362789037,l,461.235872536332,1935.1448314765198,2584.8544532130004,4159.39029627013,0.44503450847070536,1.8671709643051253,2.4940588960008685,4.01328761759004,-1.2557719882242235,0.1782558965087908,0.46774292652866034,0.9434422246548673,LL,7,prelateral,short,FALSE
o,TRUE,próggn,27.94492498925269,0.08914669078695071,ɲː,603.4683713960841,1064.9729711008902,2651.50360309329,3154.1218343697797,0.5822709507936599,1.0275647471265104,2.5583669288818727,3.0433302000049967,-0.9869879239210615,-0.4189768558888982,0.4932006010025498,0.6667838408401581,LL,7,prenasal,short,FALSE
æ,TRUE,däl,28.515557666455802,0.06631178740606812,l,492.295281435052,1832.9838380797698,2509.3674332226,4083.61118155272,0.47500292505682784,1.7685984763692042,2.4212234318974124,3.9401703188743995,-1.1906028524789658,0.12401887614247897,0.4381044272650074,0.9250554149893597,LL,7,prelateral,short,FALSE
a,TRUE,mlarànz,29.04916000434453,0.17020025434224453,n,746.4657770775141,1729.1769068445299,2234.6647200632397,2672.42239272442,0.7202454318332029,1.6684378657816392,2.1561699219564328,2.5785509254346533,-0.774331783038356,0.0657192434215057,0.32216492793763596,0.5010590488100979,LL,7,prenasal,short,FALSE
ɔː,TRUE,pò,29.657580828753403,0.10388846693617636,NA,645.621772680938,1009.5677860711801,2099.44689857798,3486.09426152058,0.6229436723623744,0.9741057237620966,2.02570175955991,3.363641768856888,-0.9194677133526596,-0.4724039708001939,0.2597476529285734,0.7668557112751317,LL,7,elsewhere,long,FALSE
o,TRUE,tótt,30.028103028363894,0.19672496930467173,tː,546.1143318220211,1038.1646900921999,2418.5114477415805,4076.0604599235,0.5269315283192253,1.0016981333784496,2.333558852345478,3.9328848237753715,-1.0868532016969379,-0.44447184234671777,0.4012259711951165,0.9232046729212362,LL,7,elsewhere,short,FALSE
eː,TRUE,sparvêrs,31.045161958655065,0.18042840904643498,r,488.2996504201939,1638.7783215592299,2148.36289315559,2834.7047843665196,0.4711476445146849,1.581214619793283,2.0728995316748433,2.735132988318765,-1.1987522993069684,0.012024762882201223,0.28277983156889874,0.56001152377873,LL,7,prerhotic,long,FALSE
ɛː,TRUE,ètra,31.47449066764927,0.15914828977456713,t,672.7148317156681,1346.0379877025102,2023.51465080195,2630.60129331529,0.6490850610279734,1.2987570783382585,1.952436706735079,2.5381988333111583,-0.8783600416351183,-0.18476082199435595,0.22290965015446496,0.48528617321488365,LL,7,elsewhere,long,FALSE
uː,TRUE,frûta,32.17297163179803,0.2817983535024098,t,421.822176934954,645.30309873806,2325.2867108313703,3130.58623634824,0.4070052577263552,0.6226361921554442,2.243608726090114,3.0206213130325184,-1.3450977109032927,-0.9199614275205503,0.3619170724428393,0.6592940074920302,LL,7,elsewhere,long,FALSE
o,TRUE,ói,33.2217603803558,0.2043875858983313,i,395.507093032237,1061.1115916072802,3059.6015227718103,4088.8603408144404,0.35995093659757665,0.9657174750149271,2.784542813868877,3.7212710852011996,-1.4571058733656086,-0.4702022857923689,0.5887653703960556,0.8787469701759587,RM,7,elsewhere,short,FALSE
e,TRUE,é,33.54112527705985,0.09836248465234118,v,476.102896982522,1963.1843476808497,2601.70330634677,2944.10039779716,0.4333011637586738,1.7866937334644128,2.3678097267201244,2.679425260112868,-1.271640593753066,0.14504850631022226,0.4266470325848086,0.5502839870254732,RM,7,elsewhere,short,FALSE
