phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
r,0,galîra,22.96427454,0.02753025115,a,453.3426065,1349.254757,2279.315025,3217.200229,LL,2
a,0,galîra,23.0197072,0.08333505379,n,541.4180742,1436.790875,2159.696883,3497.704799,LL,2
n,0,nôva,23.08731866,0.05188786368,o:,297.0463035,1285.30297,2437.5373,2792.387118,LL,2
oː,1,nôva,23.22254157,0.2185579713,v,466.7141414,841.2575179,2858.853373,3207.975973,LL,2
v,0,nôva,23.37861503,0.09358893421,a,371.8116539,1029.339126,2347.822139,3404.704713,LL,2
a,0,nôva,23.47452896,0.09823892545,NA,583.4767436,1324.585903,2448.869112,3790.717316,LL,2
a,0,a,24.47813787,0.07582176314,t,669.8113727,1321.036205,1820.331323,3643.625987,LL,2
t,0,tói,24.56479189,0.09748628934,o,680.0531972,1478.293058,3200.7166,3852.927963,LL,2
o,1,tói,24.65127166,0.07547325626,i,436.2247391,1142.492014,2257.794013,3248.243025,LL,2
i,0,tói,24.72202784,0.06603909923,g,315.4380019,1992.820299,2457.612008,3457.765664,LL,2
g,0,galîra,24.78734712,0.06459944735,a,264.6018846,2167.445422,2203.171284,3580.628032,LL,2
a,0,galîra,24.86102753,0.08276137876,l,536.0867752,1441.476898,2358.230774,3670.175182,LL,2
l,0,galîra,24.91615012,0.02748380017,i:,319.3346287,1483.888925,2578.908803,3575.159123,LL,2
iː,1,galîra,24.98420726,0.1086304856,r,377.7958421,1968.23317,2456.086896,3677.10568,LL,2
r,0,galîra,25.05022786,0.02341070725,a,468.4275969,1353.404074,2193.539439,3923.696682,LL,2
a,0,galîra,25.09501215,0.06615787781,n,550.9447182,1397.598794,2224.188358,3313.015011,LL,2
n,0,nôva,25.16378619,0.07139019326,o,333.8330922,1209.572883,2393.631893,3113.952589,LL,2
o,1,nôva,25.26575338,0.1325441884,v,492.1054078,865.9090602,2509.866717,3202.573225,LL,2
v,0,nôva,25.3653101,0.06656926737,a,241.7347037,931.2849487,2288.445056,3447.480676,LL,2
a,0,nôva,25.43086726,0.06454504915,p,518.5581769,1076.76862,2497.329023,3464.3982,LL,2
p,0,parché,25.51148772,0.09669587453,a,515.7427781,1047.809031,2461.607805,3788.754303,LL,2
a,0,parché,25.58453296,0.04939459968,r,597.4418606,1285.199937,2377.788118,3502.040917,LL,2
r,0,parché,25.62483624,0.0312119595,k,395.0497031,1374.999314,2388.456399,3774.963243,LL,2
k,0,parché,25.69613415,0.1113838555,e,459.0704987,1480.834021,2896.748978,3730.690449,LL,2
e,1,parché,25.84209596,0.1805397657,NA,404.8198501,2052.793724,2372.647219,3670.799686,LL,2
a,0,ai,26.2202045,0.04332143905,i,606.4668723,1895.847784,2494.822808,3366.196799,LL,2
i,0,ai,26.26402844,0.044326438,e,352.9084447,2111.636553,2869.773831,3639.648935,LL,2
e,1,é,26.31947317,0.06656303975,p,339.3460407,2238.032333,2855.252546,3620.889513,LL,2
p,0,pió,26.40683092,0.1081524533,j,354.2931976,2013.999481,2312.185858,3588.87034,LL,2
j,0,pió,26.48286801,0.04392171886,o,321.7205385,1956.341837,2465.54775,3663.224844,LL,2
o,1,pió,26.54039593,0.07113413185,ð,414.1480498,1330.97644,2345.542523,3827.91414,LL,2
ð,0,Zänt,26.61854498,0.08516397097,æ,285.6865089,1496.399388,2708.574033,3787.984578,LL,2
æ,1,Zänt,26.7322134,0.1421728543,n,742.1205303,1577.970502,2351.608772,3624.196339,LL,2
n,0,Zänt,26.86694774,0.1272958348,t,462.524657,848.0201828,1913.979307,2795.03908,LL,2
t,0,Zänt,27.06768348,0.2741756442,NA,1140.533131,1995.285991,3025.571777,3723.977145,LL,2
a,0,anc,27.60339839,0.1113838555,n,797.3734717,1534.390788,2274.895068,3296.478925,LL,2
n,0,anc,27.69887027,0.07955989677,k,434.8653963,829.0194105,2155.398613,2939.057515,LL,2
k,0,anc,27.76680218,0.05630392694,s,353.6584405,1569.731246,2036.280638,3782.241059,LL,2
s,0,se,27.84330208,0.09669587453,e,1670.092539,2154.581161,3350.635923,4012.329269,LL,2
e,0,se,27.92898197,0.07466390312,g,421.7248355,1845.560166,2231.905369,3564.939109,LL,2
g,0,galîra,27.99997388,0.06731991265,a,266.1930597,1847.776013,2286.501469,3712.603407,LL,2
a,0,galîra,28.07035379,0.07343990471,l,549.9063968,1495.308189,2499.183635,3634.885437,LL,2
l,0,galîra,28.12176172,0.02937596188,i:,276.07364,1507.983944,2451.114639,3617.832331,LL,2
iː,1,galîra,28.18619496,0.09949050942,r,331.8414111,2086.35963,2452.377075,3561.026839,LL,2
r,0,galîra,28.24739488,0.02290933176,a,401.7180686,1378.298542,2253.755293,3595.360144,LL,2
a,0,galîra,28.2925095,0.06731991265,v,570.9502973,1463.140151,2177.145406,4007.920818,LL,2
v,0,vècia,28.35432142,0.05630392694,ɛ:,361.7268184,1280.038285,2243.210308,3347.267861,LL,2
ɛː,1,vècia,28.45468929,0.1444318126,ts,612.4524706,1805.98112,2366.102403,3744.52618,LL,2
ts,0,vècia,28.57559539,0.09738038231,a,1030.901572,1822.582798,3097.041899,3939.611444,LL,2
a,0,vècia,28.65648653,0.06440190513,l,511.8865033,1446.235498,2337.668168,3493.206606,LL,2
l,0,l'é,28.70754759,0.0377202166,e,295.121139,1335.224234,2753.785969,3410.020709,LL,2
e,1,l'é,28.75388957,0.05496374419,p,455.9880539,1788.304444,2543.317352,2591.757925,LL,2
p,0,pió,28.81639736,0.07005183083,j,418.3288131,1776.515961,2571.344662,3694.518548,LL,2
j,0,pió,28.87207182,0.04129708288,o,305.3695469,1845.702056,2331.685149,3680.658962,LL,2
o,0,pió,28.91248633,0.0395319527,b,418.2807381,1245.30576,2333.396533,3355.095281,LL,2
b,0,bèla,28.9635062,0.06250778751,ɛ:,221.5784756,1026.851557,2154.220153,3316.191398,LL,2
ɛː,1,bèla,29.09224379,0.1949673925,l,633.7017153,1826.112286,2535.62011,3555.633805,LL,2
l,0,bèla,29.21999877,0.06054256899,a,362.4538829,1421.406329,2271.173862,2583.329106,LL,2
a,0,bèla,29.30570347,0.1108668232,NA,600.2052837,1447.444059,2247.342202,4283.317251,LL,2
a,0,a,30.57493756,0.04867631036,l,830.8792962,1311.320702,2275.626595,3311.561725,LL,2
l,0,la,30.61173453,0.02491763506,a,612.9077863,1189.548767,2364.302137,4137.506332,LL,2
a,0,la,30.65825725,0.06812780754,f,729.4382768,1281.412318,2345.230655,3713.318893,LL,2
f,0,fâg,30.74360513,0.1025679397,a:,824.7119366,1371.870556,2376.024123,3581.177363,LL,2
aː,1,fâg,30.83551622,0.08125423885,g,701.5657742,1371.636849,2097.930916,3629.587867,LL,2
g,0,fâg,30.92231041,0.09233415371,t,831.141047,1458.177952,2067.129037,3562.186189,LL,2
t,0,tótta,31.01113736,0.0853197321,o,1157.57264,1947.31686,3134.266756,3908.476866,LL,2
o,1,tótta,31.10049299,0.09339153314,t:,455.8868656,1075.387981,2393.14192,3231.233512,LL,2
tː,0,tótta,31.23156008,0.1687426519,a,468.1643901,1939.70304,2949.725582,4331.621376,LL,2
a,0,tótta,31.34684103,0.06181924624,f,559.6678406,1446.101022,2260.818117,3740.965446,LL,2
f,0,fén,31.46525212,0.1750029253,e,818.3851355,1941.521444,2818.90905,3828.418898,LL,2
e,1,fén,31.61249871,0.1194902697,n,398.9808638,2057.692766,2536.205989,3696.986791,LL,2
n,0,fén,31.70655816,0.06862862825,a,442.3162203,1458.483056,2361.793241,4040.816709,LL,2
a,0,a,31.77130647,0.06086798259,s,552.4505876,1637.492368,2276.867828,3784.189516,LL,2
s,0,San,31.85342,0.1033590726,a,1466.746399,2688.248664,3333.471902,3987.716644,LL,2
a,0,San,31.93944736,0.06869565156,n,578.1134298,1457.148842,2283.401946,3827.025659,LL,2
n,0,San,32.02139008,0.09518979882,p,306.5450038,1015.489712,2165.856099,2485.184465,LL,2
p,0,Pîr,32.14037772,0.14278547,i:,273.856061,2020.263672,3129.524856,4418.26719,LL,2
iː,1,Pîr,32.34241937,0.2612978416,r,268.5594757,2315.341067,2721.486164,2907.597121,LL,2
r,0,Pîr,32.52283503,0.09953347235,NA,293.8133298,1454.779568,2380.415566,3722.050232,LL,2
e,0,e,33.66482365,0.112238718,d,408.3622788,2144.068171,2569.007284,3745.965293,LL,2
d,0,da,33.83034024,0.218794463,a,394.854606,1853.527018,2962.569166,4091.106408,LL,2
a,0,da,33.97880791,0.07814087963,l,673.4121957,1514.126544,2523.932833,3413.571949,LL,2
l,0,lé,34.05282007,0.06988342866,e,335.8320147,1361.536626,2634.247991,3399.910525,LL,2
e,1,lé,34.18708031,0.1986370486,NA,456.7642821,2082.400968,2504.752648,4193.768593,LL,2
a,0,a,34.51629551,0.04830527104,v,674.8913435,1389.542057,2219.989004,3377.455432,LL,2
v,0,vâg,34.56059311,0.04028991768,a:,312.1968659,1209.810204,2351.287826,3621.182059,LL,2
aː,1,vâg,34.61525689,0.06903766115,g,729.4410883,1347.141568,2112.320609,3547.353426,LL,2
g,0,vâg,34.68035653,0.06116161309,i,536.9524022,1464.158754,2248.560314,3972.51841,LL,2
i,0,in,34.74645592,0.0710371633,n,277.7978478,2437.201852,2805.532224,3192.431421,LL,2
n,0,in,34.82601754,0.08808608249,p,259.7677743,846.1711709,2358.519315,2961.284636,LL,2
p,0,Piâza,34.91552437,0.09092756902,i,303.6917277,1918.317149,3017.818451,4011.853756,LL,2
i,0,Piâza,34.99341968,0.0648630473,a:,335.3171909,2152.191426,2766.992511,3754.89019,LL,2
aː,1,Piâza,35.08150576,0.1113091177,θ,836.2310762,1486.482425,2387.259623,3593.134359,LL,2
θ,0,Piâza,35.18160613,0.08889163214,a,939.4846502,1764.834761,2807.534182,3799.731425,LL,2
a,0,Piâza,35.25872905,0.06535419024,g,554.168555,1570.159034,2225.157766,3529.8181,LL,2
g,0,Granda,35.31200692,0.04120155471,r,323.2064892,1550.703328,2213.039204,3781.064354,LL,2
r,0,Granda,35.34752813,0.02984086481,a,451.9675804,1692.161156,2106.103817,3553.598195,LL,2
a,0,Granda,35.44241033,0.1599235392,n,710.6806636,1474.426821,2158.351219,4115.383449,LL,2
n,0,Granda,35.54226251,0.03978081145,d,412.1425701,1314.311913,2494.959755,4254.841324,LL,2
d,0,Granda,35.58417443,0.04404304125,a,287.0531761,1319.791898,2786.336606,3690.717399,LL,2
a,0,Granda,35.65165974,0.09092756902,a,652.2597542,1501.4211,2343.33145,4048.988875,LL,2
a,0,a,35.77866977,0.1630925018,t,699.1818043,1535.065047,2920.926318,4214.301713,LL,2
t,0,tôr,35.91758252,0.1147330023,o:,711.7365674,1408.779114,2333.965339,3821.415603,LL,2
oː,1,tôr,36.06462945,0.1793608538,r,420.304366,884.660124,2683.587148,3432.154389,LL,2
r,0,tôr,36.18787307,0.06712637247,a,461.3513174,1263.004129,1775.693159,3993.246851,LL,2
a,0,al,36.31236382,0.181855138,l,699.6103742,1294.076242,2429.508713,4120.10833,LL,2
l,0,al,36.42105068,0.03551858165,k,348.2692189,1295.155408,2530.914103,3525.760153,LL,2
k,0,cafà,36.47859078,0.0795616229,a,472.9119523,1477.114677,2519.483027,3783.304932,LL,2
a,0,cafà,36.55033832,0.06393344697,f,606.6372928,1424.85399,2264.831969,4485.860082,LL,2
