phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
a,1,setàmmber,26.04948935706004,0.09049776294667566,mː,737.973288452664,"1,387.64658298584","2,415.97762088570","3,836.77180667478",LL,10
mː,0,setàmmber,26.190090509850062,0.19070454263336956,b,258.072219908595,"1,275.16281601535","2,396.50667829624","2,645.13508413889",LL,10
b,0,setàmmber,26.30350952731096,0.03613349228842466,e,479.901965066500,"1,540.07958117242","2,523.77682040106","3,736.25714083594",LL,10
e,0,setàmmber,26.33362077088465,0.02408899485895332,r,503.796708591336,"1,534.02001541131","2,512.82422165739","3,728.00795293124",LL,10
r,0,setàmmber,26.381798760602553,0.07226698457685643,NA,506.816513616151,"1,754.17873216971","2,570.46269358416","4,134.48524057023",LL,10
i,0,i,27.130053406026025,0.10639306062703824,v,340.148476459076,"2,312.99480344084","2,572.87987971211","3,937.59401336484",LL,10
v,0,ventiòt,27.22239455298534,0.0782892332915921,e,255.593629486839,"1,273.22551262169","2,387.99265911425","3,646.88095492671",LL,10
e,0,ventiòt,27.29968007815781,0.07628181705334569,n,480.828351627538,"1,828.83254196971","2,648.70689002027","3,773.47811504176",LL,10
n,0,ventiòt,27.44421404731152,0.21278612125407292,t,294.891103510771,"1,077.31200882779","2,397.55066621825","3,792.33902099107",LL,10
t,0,ventiòt,27.58469998860076,0.06818576132441123,i,"1,719.975781123630","2,658.74881419687","3,386.48492770516","4,108.12404645708",LL,10
i,0,ventiòt,27.638867031645425,0.04014832476491747,ɔː,334.967177914378,"1,908.74085223749","2,392.42504841472","3,582.56377170070",LL,10
ɔː,1,ventiòt,27.79243437387124,0.26698635968671525,t,517.249331321377,908.46232305285,"2,689.97657841585","3,402.62829994485",LL,10
t,0,ventiòt,27.962061046003026,0.07226698457685288,d,530.039587104758,"1,389.22034020606","2,964.82411929248","3,591.92716921517",LL,10
d,0,d,28.050387360485846,0.10438564438879185,f,298.639584998972,"1,697.31642951805","2,402.89151038179","3,729.73292208850",LL,10
f,0,febrèr,28.172888571743684,0.1406167781268799,e,"1,056.252713693830","1,615.10139588752","2,577.07643704521","3,545.07291222847",LL,10
e,0,febrèr,28.29840090735889,0.1104078931035275,b,452.571980062800,"1,530.59793863751","2,452.79962216431","3,508.92253276118",LL,10
b,0,febrèr,28.39877171927118,0.09033373072106698,r,489.251488620706,"1,305.89095002206","2,307.34320156803","3,550.12262125051",LL,10
r,0,febrèr,28.464012747014177,0.04014832476492103,ɛː,567.347671151550,"1,290.93021235409","2,144.73762878237","3,774.14100329492",LL,10
ɛː,1,febrèr,28.57642805635595,0.1846822939186268,r,578.045378612626,"1,789.40284022713","2,548.36464358584","3,637.79326205970",LL,10
r,0,febrèr,28.70189157124632,0.06624473586211721,s,516.179624197724,"1,355.19822848307","2,175.34063538142","4,005.17066290428",LL,10
s,0,sutîl,28.826169775740837,0.182311673126911,u,"1,362.667484797740","2,259.84375134497","3,199.85791270397","3,662.55548603190",LL,10
u,0,sutîl,28.962492477664828,0.09033373072107054,t,296.621355971350,"1,011.41949877126","2,516.00142066881","3,227.68921282962",LL,10
t,0,sutîl,29.076915203244848,0.1385117204389701,iː,198.302081735939,"2,384.03064400524","3,274.03656473065","3,813.97104595043",LL,10
iː,1,sutîl,29.31248979746121,0.3326374679937594,l,260.602540240867,"2,325.67924155649","2,769.66522996272","3,448.38019768160",LL,10
l,0,sutîl,29.525275918715288,0.09293477451438648,NA,257.787788363048,"1,482.87519167809","2,483.16547709939","3,248.26224322930",LL,10
e,0,nómmer,3.030255824376944,0.12847463924774205,r,479.369347203889,"2,111.82610276341","2,825.11289669055","3,461.78566278313",RM,10
r,0,nómmer,3.144678549956964,0.10037081191229812,NA,464.600667097235,"1,708.92532917468","2,700.48995734421","3,088.55829300210",RM,10
d,0,dîS,3.4505127125119444,0.06222990338562484,iː,303.534812593599,"1,953.89333785711","2,495.02188756693","3,025.87060630874",RM,10
iː,1,dîS,3.584005892355301,0.20475645630108863,z,299.056144078819,"1,022.67849863168","2,865.94835072870","3,475.52399281370",RM,10
z,0,dîS,3.789766056775513,0.2067638725393346,NA,"1,636.872892877960","2,138.91302798369","3,620.12498707372","4,313.88519095972",RM,10
i,0,i,30.099379392802504,0.08486996945914882,e,275.120690908792,"2,200.93433013951","3,291.14644116844","3,707.05795957935",LL,10
e,1,én,30.167334731125337,0.05104070718651599,ŋː,323.674140696797,"2,331.44381943354","2,886.99854798248","3,392.02401117382",LL,10
ŋː,0,én,30.240029366317373,0.0943485631975598,v,300.378290939797,797.17781501980,"2,453.33319369806","2,973.02697468537",LL,10
v,0,ventnôv,30.31631118337072,0.05821507090913513,e,219.294630133068,"1,280.04092212264","2,504.38716959766","3,496.57843882797",LL,10
e,0,ventnôv,30.365574897320563,0.04031235699054392,n,424.146053694657,"1,942.91132704679","2,414.53574676130","3,594.35820587200",LL,10
n,0,ventnôv,30.437923898010222,0.10438564438878828,t,324.946702526011,"1,105.88357655914","2,409.18161625547","3,589.27201412855",LL,10
t,0,ventnôv,30.55234662359025,0.12445980677125236,n,256.590881357944,"1,907.92599628645","2,519.71982983777","3,563.75183090781",LL,10
n,0,ventnôv,30.652717435502545,0.07628181705334569,oː,326.469719778977,"1,121.56693049386","2,376.80732421258","2,936.68399870943",LL,10
oː,1,ventnôv,30.798749154166508,0.2157816202745728,v,462.284012292040,857.32263012980,"2,542.32999145787","3,331.67398446681",LL,10
v,0,ventnôv,30.967766573406365,0.12225321820514168,k,"1,062.870818340580","1,687.07043879499","2,538.45075398054","3,555.21347879201",LL,10
k,0,col,31.041941388057538,0.02609641109719973,o,793.902285270093,"1,103.48967278752","2,182.72071119650","3,800.33032310223",LL,10
o,0,col,31.0840971290607,0.05821507090913158,l,501.023684985223,"1,010.50389813784","2,556.56858272551","3,411.61581689415",LL,10
l,0,col,31.13327882689773,0.04014832476492103,b,290.406972374624,"1,151.01937221783","2,320.12500841710","3,626.20570790273",LL,10
b,0,biSestîl,31.18747906533037,0.06825215210036362,i,218.314479829467,"1,026.41690816052","2,245.84663337783","3,503.93219504914",LL,10
i,0,biSestîl,31.254727509311607,0.06624473586211366,z,294.534522823016,"1,914.59352338765","2,421.71254230241","3,446.34966108556",LL,10
z,0,biSestîl,31.31695741269723,0.05821507090913513,e,"1,910.557277726340","2,785.56012864122","3,546.51737787522","4,382.75762512869",LL,10
e,0,biSestîl,31.377179899844613,0.0622299033856244,s,393.530312961007,"1,791.80971186555","2,494.37072438634","3,781.84668190684",LL,10
s,0,biSestîl,31.43639867887287,0.05620765467088873,t,"1,706.139102511660","2,733.92415779217","3,324.70180350514","4,218.91985308093",LL,10
t,0,biSestîl,31.515691620283583,0.10237822815054189,iː,"1,442.710811634870","2,603.26770471697","3,280.93367260227","3,726.79061639866",LL,10
iː,1,biSestîl,31.692344249249228,0.25092702978074755,l,289.202492461585,"2,345.90419339422","2,526.84304854707","3,678.66314075594",LL,10
l,0,biSestîl,31.85394125642803,0.07226698457685643,NA,252.558895184712,"1,461.53067938489","2,573.25520091597","3,868.20954250478",LL,10
i,0,i,32.589096930863775,0.10639306062703469,s,271.471303180916,"2,255.79335875525","2,668.08681643172","3,416.18200205992",LL,10
s,0,sèt,32.70653078080116,0.1284746392477416,ɛː,"1,566.206281936310","2,517.75464453007","3,484.11921595000","3,895.13371670054",LL,10
ɛː,1,sèt,32.863109247384344,0.1846822939186268,t,573.791134839050,"1,802.02353551923","2,372.00894632822","3,501.10893380369",LL,10
t,0,sèt,33.014669173371914,0.11843755805651313,k,982.626786121676,"2,082.43126223246","3,043.55870618611","3,644.07055811497",LL,10
k,0,ch'i,33.105002904092984,0.06222990338562084,i,"1,370.127039707590","2,796.60908530963","3,258.14323997164","3,712.46945806685",LL,10
i,0,ch'i,33.15719572628737,0.04215574100316388,a,318.206613103583,"2,140.32196910681","2,849.04962561987","3,631.52809204527",LL,10
a,0,avànzen,33.21039225660089,0.0642373196238708,v,497.405613252185,"1,861.58324312402","2,572.28970793817","3,680.42650048054",LL,10
v,0,avànzen,33.26961103562915,0.05420023843264232,a,532.286868988611,"1,326.93004488024","2,152.00245087803","3,464.02992273267",LL,10
a,1,avànzen,33.36195218258847,0.13048205548599157,n,807.342477525249,"1,580.15227689928","2,381.47944590473","3,746.31365042591",LL,10
n,0,avànzen,33.47737861628761,0.10037081191229902,θ,464.901102083668,"1,034.40919866477","2,288.10788436641","2,746.90079768704",LL,10
θ,0,avànzen,33.63068234012387,0.2062366357602272,e,728.035541068777,"1,841.86140079642","2,503.15281869189","3,588.34923760070",LL,10
e,0,avànzen,33.76835438466934,0.06910745333070878,n,432.855735757165,"1,667.21985736592","2,257.26432733478","4,094.42683317387",LL,10
n,0,avànzen,33.83459912053146,0.06338201839352564,i,465.049292908162,"1,715.74237371809","2,159.99304130640","4,291.04812816171",LL,10
i,0,1,33.9018475645127,0.07111486956895874,e,410.337350676391,"2,261.17779100806","3,095.41280177509","4,143.93669455928",LL,10
e,1,èn,33.96914482921878,0.06347965984318904,ŋː,398.527515798316,"2,162.62294361350","2,180.63356663285","3,364.19103701124",LL,10
ŋː,0,èn,34.09919923408958,0.19662914989843472,p,387.079544187420,"1,042.35713314440","2,299.08135905675","3,450.36047935579",LL,10
p,0,prezîSː,34.21679711625261,0.03856661442760156,r,513.588447641600,"1,265.63632539814","2,160.93619258154","3,720.50555690788",LL,10
r,0,prezîSː,34.25515087772974,0.03814090852667107,e,403.829937431599,"1,374.76868408398","2,277.29261984312","3,392.11340238549",LL,10
e,0,prezîSː,34.30533628368589,0.06222990338562795,θ,386.169942883944,"1,587.25113048720","2,263.91981389649","3,229.67950054811",LL,10
θ,0,prezîSː,34.3886440575731,0.10438564438879185,iː,"1,480.278604121190","1,845.28072784203","3,177.30903859286","4,183.88472655834",LL,10
iː,1,prezîSː,34.578344892087344,0.2750160246396973,z,270.915390792365,"2,312.24245888860","2,623.81706461811","3,653.65374034102",LL,10
z,0,prezîSː,34.78310134838843,0.13449688796247727,NA,"1,620.425239210940","2,391.64324158487","3,300.65300695564","4,016.52194922449",LL,10
t,0,träntón,35.50896197607682,0.04215574100316388,r,937.497080182531,"1,624.04596094769","2,663.64030273605","3,471.32256597761",LL,10
r,0,träntón,35.55011400896086,0.04014832476492103,æ,654.093468629178,"1,281.58056617825","2,188.22677229388","4,116.73025992401",LL,10
æ,1,träntón,35.6043142473935,0.06825215210036362,n,651.097567299281,"1,423.00177090481","2,212.01682979788","2,508.43267603570",LL,10
